iter	MultiClass
0	1.055100895
1	1.015184203
2	0.9783483148
3	0.944380483
4	0.9128677409
5	0.8835218653
6	0.856212988
7	0.8306574237
8	0.8066853808
9	0.7841861129
10	0.7630301517
11	0.7431373325
12	0.7243905831
13	0.7066855135
14	0.6899202638
15	0.6740716358
16	0.659045196
17	0.6447884666
18	0.6312601523
19	0.6184137765
20	0.6062124089
21	0.5945852078
22	0.583526522
23	0.5729761921
24	0.5629312422
25	0.5533610665
26	0.5442257773
27	0.5354942559
28	0.5271443604
29	0.5191713981
30	0.5115480175
31	0.5042341427
32	0.4972855042
33	0.4906070391
34	0.4842427327
35	0.4781049513
36	0.4722322239
37	0.4666023874
38	0.461178515
39	0.4560269046
40	0.4510754869
41	0.446313819
42	0.4417846488
43	0.4373917395
44	0.4331493603
45	0.4290838689
46	0.4252128268
47	0.4215172285
48	0.4179216467
49	0.4144296462
50	0.4111362455
51	0.4079656292
52	0.4048850258
53	0.401938291
54	0.3991048217
55	0.3964232948
56	0.3937632842
57	0.3912425271
58	0.3888165221
59	0.3865038423
60	0.3842622216
61	0.3820895825
62	0.3800278949
63	0.3779886739
64	0.3760936979
65	0.3742276269
66	0.3723759902
67	0.3706613813
68	0.3690250643
69	0.3673398067
70	0.365823142
71	0.3643014832
72	0.3628276364
73	0.3614146981
74	0.3600741913
75	0.358772497
76	0.3575442494
77	0.3563602415
78	0.3551782365
79	0.3540733121
80	0.3529927287
81	0.3520477883
82	0.3510397715
83	0.3501227531
84	0.3491979408
85	0.348258207
86	0.3473852086
87	0.3465678305
88	0.3457074101
89	0.3448891209
90	0.3441595828
91	0.3433132779
92	0.3425362035
93	0.3418216797
94	0.3411592118
95	0.3404525389
96	0.339915864
97	0.3393578185
98	0.3387501444
99	0.3381493863
100	0.337607906
101	0.3370465812
102	0.3364420381
103	0.3359137586
104	0.3354410266
105	0.3348559905
106	0.3344216513
107	0.3339685701
108	0.3334509348
109	0.3330559388
110	0.33265751
111	0.3323330828
112	0.3319173505
113	0.3315271906
114	0.3311800112
115	0.3308195642
116	0.3303965981
117	0.3300908303
118	0.3297894245
119	0.3294340694
120	0.3291071172
121	0.3287400525
122	0.3284414061
123	0.3282045727
124	0.3280052594
125	0.3277749021
126	0.3273598744
127	0.3271596879
128	0.3268688882
129	0.3265317941
130	0.3262419987
131	0.3260559521
132	0.3258932762
133	0.3256901652
134	0.325499586
135	0.3252304113
136	0.3250594164
137	0.3247848437
138	0.3245879528
139	0.3242595948
140	0.3241210679
141	0.3238644886
142	0.323661219
143	0.3235079045
144	0.3232965175
145	0.323215702
146	0.3230818492
147	0.3229282056
148	0.3227564182
149	0.3225603932
150	0.322428613
151	0.3222856891
152	0.322161808
153	0.3220087287
154	0.3218938299
155	0.3217100346
156	0.3215376316
157	0.3214491634
158	0.3213270362
159	0.321208021
160	0.3210008327
161	0.3208302658
162	0.3207168214
163	0.3206114306
164	0.3204708179
165	0.3204079293
166	0.3202629952
167	0.3201972553
168	0.3200384854
169	0.3199328301
170	0.3198411676
171	0.3197446735
172	0.3196038258
173	0.3194718852
174	0.3193897078
175	0.3192557847
176	0.3191753163
177	0.3191472001
178	0.319060385
179	0.3189622416
180	0.3188868867
181	0.3187324194
182	0.3186539222
183	0.3185398697
184	0.3184018276
185	0.3182978281
186	0.3181639336
187	0.3180784353
188	0.3179911759
189	0.3179067095
190	0.3178841298
191	0.3178151084
192	0.3177262265
193	0.3176201666
194	0.317524214
195	0.3174527022
196	0.3173975514
197	0.3173217689
198	0.3172247935
199	0.3172027524
200	0.3170991498
201	0.3170768141
202	0.3170343429
203	0.316915237
204	0.3168720231
205	0.3168106892
206	0.3167482976
207	0.3167270946
208	0.3166521652
209	0.3166106882
210	0.3165737141
211	0.3164763185
212	0.3164303816
213	0.3163417259
214	0.3163017372
215	0.3162373306
216	0.3162194448
217	0.3161495737
218	0.3160951914
219	0.3160536468
220	0.3160279457
221	0.3159895427
222	0.3159490728
223	0.3159194149
224	0.3159024362
225	0.3158358488
226	0.3157917755
227	0.3157695287
228	0.3156807819
229	0.3156115155
230	0.3155267698
231	0.3154508339
232	0.3153893888
233	0.3152819775
234	0.3152305445
235	0.3151686732
236	0.3151240657
237	0.315071144
238	0.3150053373
239	0.3149815852
240	0.3149378744
241	0.3148693428
242	0.3148018699
243	0.3147513271
244	0.3147036939
245	0.3146659234
246	0.3146326101
247	0.3145376232
248	0.3144821651
249	0.3144432003
250	0.3143862075
251	0.3143439161
252	0.3142678836
253	0.3142355665
254	0.3141505834
255	0.3141313395
256	0.3141059437
257	0.314083343
258	0.3140468063
259	0.3140208648
260	0.3139806529
261	0.3139671948
262	0.3139020295
263	0.3138097285
264	0.3137270279
265	0.3137008345
266	0.3136685239
267	0.3136270901
268	0.3135704697
269	0.3135440478
270	0.3135126986
271	0.3134363222
272	0.313416156
273	0.3133451636
274	0.3132987958
275	0.3132862277
276	0.3132651416
277	0.3132070279
278	0.3131703659
279	0.3131541409
280	0.313107339
281	0.3130828402
282	0.3130236135
283	0.3129868875
284	0.3128973455
285	0.3128675876
286	0.3128196378
287	0.3127674907
288	0.3126883492
289	0.3126076529
290	0.3125948416
291	0.3125707634
292	0.3125046593
293	0.3124703609
294	0.3124371069
295	0.3123915334
296	0.3123629739
297	0.3123481674
298	0.3123049199
299	0.3122712817
