iter	Passed	Remaining
0	880	263221
1	1717	255848
2	2695	266890
3	3515	260167
4	4365	257554
5	5204	255030
6	6064	253846
7	6909	252213
8	7825	253031
9	8631	250299
10	9563	251256
11	10540	252962
12	11585	255781
13	12551	256406
14	13445	255459
15	14326	254295
16	15098	251352
17	15931	249596
18	16780	248167
19	17540	245564
20	18421	244741
21	19147	241958
22	19910	239796
23	20723	238325
24	21533	236868
25	22302	235033
26	23087	233442
27	23891	232085
28	24808	231829
29	25727	231545
30	26578	230629
31	27436	229780
32	28242	228505
33	29184	228328
34	30063	227620
35	30864	226336
36	31599	224609
37	32356	223089
38	33108	221573
39	33906	220393
40	34708	219255
41	35521	218202
42	36361	217323
43	37120	215971
44	37957	215093
45	38767	214064
46	39718	213805
47	40638	213350
48	41495	212558
49	42234	211172
50	43031	210097
51	43919	209463
52	44708	208358
53	45430	206961
54	46150	205579
55	46894	204326
56	47595	202906
57	48391	201910
58	49097	200552
59	49840	199362
60	50533	197991
61	51317	196993
62	52123	196083
63	52916	195130
64	53584	193728
65	54424	192958
66	55278	192237
67	56032	191171
68	56765	190042
69	57725	189670
70	58472	188592
71	59298	187778
72	59999	186574
73	60697	185374
74	61455	184367
75	62200	183327
76	62918	182217
77	63616	181062
78	64488	180405
79	65211	179332
80	65984	178402
81	66751	177461
82	67581	176688
83	68280	175579
84	69090	174757
85	69940	174038
86	70749	173213
87	71473	172186
88	72278	171357
89	73072	170502
90	73829	169563
91	74571	168595
92	75305	167615
93	76077	166723
94	76844	165821
95	77592	164883
96	78371	164015
97	79064	162968
98	79898	162218
99	80657	161315
100	81410	160402
101	82105	159381
102	82884	158525
103	83600	157554
104	84313	156582
105	85259	156041
106	86060	155231
107	86789	154292
108	87742	153750
109	88620	153071
110	89376	152181
111	90231	151460
112	90973	150549
113	91895	149934
114	92594	148956
115	93360	148088
116	94301	147496
117	95077	146645
118	95804	145719
119	96595	144892
120	97319	143968
121	98130	143173
122	98928	142361
123	99854	141728
124	100630	140883
125	101487	140149
126	102305	139361
127	103067	138496
128	103915	137748
129	104655	136856
130	105513	136120
131	106246	135222
132	106915	134247
133	107567	133255
134	108226	132277
135	109078	131535
136	109837	130683
137	110712	129966
138	111380	129008
139	112230	128263
140	112980	127403
141	113757	126574
142	114575	125792
143	115547	125176
144	116410	124438
145	117170	123590
146	117936	122750
147	118720	121928
148	119571	121176
149	120376	120376
150	121145	119540
151	121931	118722
152	122613	117804
153	123443	117030
154	124146	116137
155	124971	115358
156	125773	114557
157	126483	113674
158	127158	112763
159	127800	111825
160	128657	111076
161	129555	110361
162	130277	109497
163	131235	108829
164	132138	108113
165	132923	107299
166	134040	106751
167	134847	105951
168	135829	105287
169	136641	104490
170	137370	103630
171	138172	102825
172	139179	102172
173	139840	101263
174	140572	100409
175	141317	99564
176	142118	98760
177	142765	97850
178	143561	97044
179	144532	96354
180	145302	95530
181	146182	94777
182	146889	93913
183	147843	93205
184	148761	92473
185	149575	91675
186	150343	90849
187	151065	89996
188	151777	89139
189	152583	88337
190	153211	87434
191	153943	86593
192	154639	85733
193	155516	84972
194	156280	84150
195	157041	83327
196	157842	82526
197	158657	81732
198	159546	80976
199	160461	80230
200	161340	79466
201	162144	78664
202	162995	77884
203	163845	77103
204	164688	76319
205	165460	75501
206	166168	74655
207	166899	73821
208	167623	72984
209	168426	72182
210	169290	71406
211	170071	70595
212	171026	69855
213	171857	69064
214	172587	68232
215	173369	67421
216	174026	66563
217	174691	65709
218	175550	64929
219	176282	64102
220	177086	63302
221	178179	62603
222	179007	61809
223	179924	61045
224	180545	60181
225	181491	59426
226	182342	58638
227	183070	57811
228	183846	57000
229	184662	56201
230	185617	55444
231	186348	54619
232	187176	53823
233	187975	53018
234	188702	52194
235	189510	51392
236	190310	50588
237	190977	49750
238	191718	48932
239	192647	48161
240	193680	47415
241	194559	46629
242	195443	45844
243	196227	45035
244	197214	44272
245	197936	43449
246	198820	42661
247	199726	41878
248	200559	41078
249	201241	40248
250	201988	39432
251	202716	38612
252	203576	37818
253	204181	36977
254	205075	36189
255	205905	35390
256	206884	34614
257	207717	33814
258	208689	33035
259	209432	32220
260	210288	31422
261	210949	30595
262	211861	29805
263	212778	29015
264	213631	28215
265	214374	27401
266	215000	26573
267	215728	25758
268	216365	24934
269	217104	24122
270	217959	23324
271	218870	22530
272	219593	21718
273	220431	20916
274	221255	20114
275	222009	19305
276	222672	18489
277	223562	17692
278	224400	16890
279	225163	16083
280	225843	15270
281	226611	14464
282	227416	13661
283	228170	12854
284	229108	12058
285	229745	11246
286	230470	10439
287	231141	9630
288	232013	8830
289	232824	8028
290	233463	7220
291	234085	6413
292	234962	5613
293	235712	4810
294	236461	4007
295	237172	3205
296	237867	2402
297	238732	1602
298	239450	800
299	240091	0
