trade_date,portfolio_value
2025-04-21,100000.0
2025-04-22,104347.62084600002
2025-04-23,110075.71045630002
2025-04-24,111124.02678615003
2025-04-25,115033.26728615003
2025-04-28,120148.11769019003
2025-04-29,122835.00822419004
2025-04-30,122953.87607669004
2025-05-01,124729.26372369003
2025-05-02,126799.35934869004
2025-05-05,127589.23834869004
2025-05-06,128722.95766994003
2025-05-07,128814.78255224004
2025-05-08,127881.34496614002
2025-05-09,133663.39334964004
2025-05-12,139387.67541964006
2025-05-13,138505.89767964004
2025-05-14,139547.90420764004
2025-05-15,139314.47617314005
2025-05-16,138811.71617314007
2025-05-19,138973.57242314005
2025-05-20,149040.52789414005
2025-05-21,154828.63083914007
2025-05-22,170640.67616714007
2025-05-23,170285.0668141401
2025-05-27,171910.76821741508
2025-05-28,170814.0188574151
2025-05-29,172117.7188574151
2025-05-30,171091.2381919151
2025-06-02,173036.5954644151
2025-06-03,171884.2680594151
2025-06-04,170376.1533209151
2025-06-05,169542.9062129151
2025-06-06,178801.3314139151
2025-06-09,183263.0516661951
2025-06-10,181902.1495361951
2025-06-11,214903.14059619512
2025-06-12,230350.73042019512
2025-06-13,229843.4075406951
2025-06-16,236967.10945069513
2025-06-17,236213.67802319513
2025-06-18,236061.59119269514
2025-06-20,233664.98736169512
2025-06-23,238818.31221869512
2025-06-24,255855.19146019514
2025-06-25,250425.59617419512
2025-06-26,247928.29456819512
2025-06-27,245769.40506819508
2025-06-30,254845.7312781951
2025-07-01,255019.4450201951
2025-07-02,256425.3275111951
2025-07-03,265685.6361366951
2025-07-07,267793.12630269513
2025-07-08,263164.74358269514
2025-07-09,259769.1627557751
2025-07-10,260088.6601987751
2025-07-11,257583.68476927507
2025-07-14,264069.21447677515
2025-07-15,266486.40557577513
2025-07-16,292333.5628537751
2025-07-17,290145.04519477516
2025-07-18,295160.06062072515
2025-07-21,297526.91379121516
2025-07-22,294733.46982371516
2025-07-23,298005.7164745902
2025-07-24,294835.40384659014
2025-07-25,292039.1621235902
2025-07-28,285408.02450784016
2025-07-29,277279.20262084017
2025-07-30,275686.2966100902
2025-07-31,272255.56694774015
2025-08-01,266958.07188305014
2025-08-04,270834.2837819801
2025-08-05,277922.7180039801
2025-08-06,278192.1722478601
2025-08-07,278159.14363786014
2025-08-08,277023.4439817402
2025-08-11,285697.88913874025
2025-08-12,287415.6880628602
2025-08-13,289243.4281318602
2025-08-14,292679.2146398602
2025-08-15,287108.29335936025
2025-08-18,284765.9461742803
2025-08-19,277567.2725855303
2025-08-20,279016.6917457803
2025-08-21,280102.32465778035
2025-08-22,285787.7301617804
2025-08-25,284109.6452802804
2025-08-26,283362.8970692804
2025-08-27,282742.6231592804
2025-08-28,287834.4622592804
2025-08-29,283368.15730378043
2025-09-02,282775.3414982804
2025-09-03,284194.32533828047
2025-09-04,283711.6156552804
2025-09-05,285700.5244202804
2025-09-08,290823.68629053043
2025-09-09,287390.36163053045
2025-09-10,281435.34512453043
2025-09-11,278193.44744637044
2025-09-12,273748.40609437047
2025-09-15,273076.2466343705
2025-09-16,268496.82482537045
2025-09-17,267538.74540737044
2025-09-18,267936.7484685305
2025-09-19,266611.6750725305
2025-09-22,266263.94033503055
2025-09-23,271036.6766196905
2025-09-24,273297.0188816905
2025-09-25,267985.13333119056
2025-09-26,265932.4287420806
2025-09-29,265586.70355345553
2025-09-30,263112.07178545557
2025-10-01,266544.02641195554
2025-10-02,268697.2541442106
2025-10-03,264030.4767612106
2025-10-06,278517.98958701064
2025-10-07,282511.31016751064
2025-10-08,289756.26248151064
2025-10-09,291492.6522280107
2025-10-10,288610.5438878407
2025-10-13,285347.06877946074
2025-10-14,293942.61969221075
2025-10-15,287567.18247621076
2025-10-16,281422.40078748576
2025-10-17,283516.57369248575
2025-10-20,278548.9735133657
2025-10-21,271757.38887161575
2025-10-22,269236.16445224074
2025-10-23,268033.17432989075
2025-10-24,268234.0644548308
2025-10-27,270600.8556906408
2025-10-28,265087.17474380584
2025-10-29,257517.57983482082
2025-10-30,256441.2728325758
2025-10-31,258387.35414585585
2025-11-03,253687.11188585585
2025-11-04,248921.32674535585
2025-11-05,250482.49237060588
2025-11-06,240890.8709486059
2025-11-07,242281.3869741609
2025-11-10,239453.26698520093
2025-11-11,234555.74954770092
2025-11-12,238384.10311620095
2025-11-13,237309.94807780095
2025-11-14,236514.98924780096
2025-11-17,233506.18563280097
2025-11-18,237402.11249780096
2025-11-19,238506.19758530098
2025-11-20,235569.504092801
2025-11-21,239806.46930380102
2025-11-24,237557.25673705098
2025-11-25,238970.666579546
2025-11-26,240939.43920254603
2025-11-28,236898.145302546
2025-12-01,238952.960603011
2025-12-02,237438.198139011
2025-12-03,237646.22286301097
2025-12-04,240769.01837451098
2025-12-05,239491.417617501
2025-12-08,241036.466073001
2025-12-09,242459.336914471
2025-12-10,244939.072561471
2025-12-11,243780.641247971
2025-12-12,243760.45040597103
2025-12-15,241905.65660347106
2025-12-16,240279.24569298106
2025-12-17,238047.97426603106
2025-12-18,236199.8254465311
2025-12-19,236284.2194485311
2025-12-22,236069.01196353108
2025-12-23,237599.4166335311
2025-12-24,237921.2366335311
2025-12-26,236745.3666335311
2025-12-29,236967.92215483112
2025-12-30,235773.95685483114
2025-12-31,234262.15685483112
2026-01-02,232888.9125208311
2026-01-05,231449.41492883113
2026-01-06,231268.2424313311
2026-01-07,232778.32276733112
2026-01-08,228842.8894371211
2026-01-09,228233.09942928617
2026-01-12,224961.64686728618
2026-01-13,225596.01511728615
2026-01-14,225272.83007378617
2026-01-15,223946.93756378617
2026-01-16,221886.7279202862
2026-01-20,218885.7579310362
2026-01-21,219805.2189945362
2026-01-22,218213.2033619662
2026-01-23,215170.3490619662
2026-01-26,214620.23068968122
2026-01-27,213085.34264058122
2026-01-28,211341.61887658123
2026-01-29,209627.98514158124
2026-01-30,209432.65890558122
2026-02-02,214143.35826708126
2026-02-03,214214.78995758126
2026-02-04,208713.11458227626
2026-02-05,206128.2358342763
2026-02-06,208054.81847002628
2026-02-09,206327.9676005263
2026-02-10,204526.5082277763
2026-02-11,202484.83611075627
2026-02-12,201185.52744995634
2026-02-13,196583.38551795634
2026-02-17,197619.64224104135
2026-02-18,197886.0649020014
2026-02-19,199736.12388278142
2026-02-20,197602.0968957814
2026-02-23,200475.90686978144
2026-02-24,215219.18530978146
2026-02-25,218912.74924178148
2026-02-26,216315.42153393148
2026-02-27,215095.3206979315
2026-03-02,213930.37370693148
2026-03-03,210720.54651418148
2026-03-04,212773.82233418152
2026-03-05,208435.6875716815
2026-03-06,207422.00869718153
2026-03-09,202910.66055718152
2026-03-10,202149.41487093153
2026-03-11,200629.55534723157
2026-03-12,197481.54834373156
2026-03-13,195404.96890773153
2026-03-16,195205.91019248156
2026-03-17,195354.96562548156
2026-03-18,194210.27202048159
2026-03-19,194718.8202604816
2026-03-20,193057.85987198158
2026-03-23,193435.31637198158
2026-03-24,192483.0455269816
2026-03-25,195100.62849698158
2026-03-26,194191.7592231016
2026-03-27,192601.4007331016
2026-03-30,193668.5896653516
2026-03-31,193991.79083785161
2026-04-01,194288.98133785158
2026-04-02,197348.00261285162
2026-04-06,198971.6730128516
2026-04-07,199234.38001285162
2026-04-08,199513.7400128516
2026-04-09,199036.65001285163
2026-04-10,199945.09001285158
2026-04-13,200410.0000128516
2026-04-14,201230.7076628516
2026-04-15,200786.90138285162
2026-04-16,199591.7101086016
2026-04-17,199534.4587886016
