trade_date,portfolio_value
2025-04-21,2000.0
2025-04-22,2082.88969
2025-04-23,2085.387686
2025-04-24,2060.751286
2025-04-25,2067.3112860000006
2025-04-28,2069.061286
2025-04-29,2044.9166420000001
2025-04-30,2151.956672
2025-05-01,2078.8293105
2025-05-02,2022.5178904999998
2025-05-05,2119.481603
2025-05-06,2244.5589990000008
2025-05-07,2218.155683
2025-05-08,2247.1506014000006
2025-05-09,2250.7014014000006
2025-05-12,2292.5214014000003
2025-05-13,2362.557161400001
2025-05-14,2384.8281614000007
2025-05-15,2406.168161400001
2025-05-16,2398.128161400001
2025-05-19,2373.674411400001
2025-05-20,2362.458411400001
2025-05-21,2347.6584114000016
2025-05-22,2343.8584114000005
2025-05-23,2334.8584114000014
2025-05-27,2361.808411400001
2025-05-28,2335.3584114000005
2025-05-29,2356.3584114000014
2025-05-30,2371.9084114000007
2025-06-02,2380.4084114000007
2025-06-03,2361.4084114000007
2025-06-04,2350.1084114000014
2025-06-05,2366.6084114000005
2025-06-06,2379.1584114000007
2025-06-09,2371.808411400001
2025-06-10,2358.458411400001
2025-06-11,2370.8584114000005
2025-06-12,2372.058411400001
2025-06-13,2340.1864189000007
2025-06-16,2474.8775589000006
2025-06-17,2488.900287900001
2025-06-18,2530.332087900001
2025-06-20,2520.4840969000015
2025-06-23,2569.2664969000007
2025-06-24,2629.4958049000015
2025-06-25,2537.2989249000016
2025-06-26,2588.805476900001
2025-06-27,2534.6197269000013
2025-06-30,2551.4114269000015
2025-07-01,2584.4171669000016
2025-07-02,2588.6536969000013
2025-07-03,2766.4726969000017
2025-07-07,2749.2274114000015
2025-07-08,2715.4095714000014
2025-07-09,2712.909571400001
2025-07-10,2736.9895714000013
2025-07-11,2760.449571400002
2025-07-14,2783.089571400001
2025-07-15,2756.5495714000012
2025-07-16,2811.089571400001
2025-07-17,2806.449571400001
2025-07-18,2810.1648942000015
2025-07-21,2359.5914942000018
2025-07-22,2885.9274087850017
2025-07-23,3034.287283785002
2025-07-24,2973.753508785002
2025-07-25,2727.9944487850025
2025-07-28,2843.737191285002
2025-07-29,2609.4692912850023
2025-07-30,2748.2060367850027
2025-07-31,2651.6300367850026
2025-08-01,2662.3346367850036
2025-08-04,2756.5310767850037
2025-08-05,2803.0423658750033
2025-08-06,2944.194155875004
2025-08-07,2937.9849290750035
2025-08-08,2994.083819075004
2025-08-11,2865.795860070004
2025-08-12,3193.0069930700047
2025-08-13,3167.7979030700053
2025-08-14,3157.8986955700047
2025-08-15,2983.3680955700047
2025-08-18,3093.777215570005
2025-08-19,3001.031685570005
2025-08-20,2971.9421068200045
2025-08-21,3079.632356820005
2025-08-22,3201.007426820005
2025-08-25,3107.990826820005
2025-08-26,3191.9676318200054
2025-08-27,3186.415266820006
2025-08-28,3351.3383126200056
2025-08-29,3237.901812620006
2025-09-02,3286.1343126200054
2025-09-03,3333.196584620006
2025-09-04,3385.831784620006
2025-09-05,3507.4678006200065
2025-09-08,3573.864536620006
2025-09-09,3507.833696620007
2025-09-10,3429.957600620007
2025-09-11,3366.896560620007
