Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HSAI,2025-04-21,82,2025-04-22,2025-04-23,12.15,13.122000000000002,997.2963,1074.9279960000001,77.63169600000015,7.784215784215798,1,take_profit,False
EAT,2025-04-23,6,2025-04-24,2025-04-29,159.4,154.77399999999997,957.3564,927.7153559999998,-29.641044000000193,-3.096134731015554,5,trailing_stop,False
PPC,2025-04-21,19,2025-04-22,2025-05-01,51.79,50.1885,984.9940099999999,952.6279185,-32.366091499999925,-3.2859175965953225,9,trailing_stop,False
DFDV,2025-04-29,105,2025-04-30,2025-05-01,9.714,10.336,1020.98997,1084.19472,63.20474999999999,6.190535838466649,1,trailing_stop,False
DFDV,2025-05-01,85,2025-05-02,2025-05-05,12.14,12.3975,1032.9319,1052.7337125000001,19.801812500000096,1.917049178169461,3,trailing_stop,False
DFDV,2025-05-05,114,2025-05-06,2025-05-07,9.286,9.994,1059.6626039999999,1138.176684,78.51408000000015,7.409347060434723,1,trailing_stop,False
TPR,2025-05-01,14,2025-05-02,2025-05-08,70.68,76.33440000000002,990.50952,1067.6129184000004,77.1033984000004,7.78421578421582,6,take_profit,False
RBRK,2025-05-07,14,2025-05-08,2025-05-13,77.0,83.16000000000001,1079.078,1163.0757600000002,83.9977600000002,7.784215784215798,5,take_profit,False
RBRK,2025-05-13,14,2025-05-14,2025-05-19,83.5,83.125,1170.1689999999999,1162.58625,-7.582749999999805,-0.6480046899208447,5,trailing_stop,False
ING,2025-05-19,55,2025-05-20,2025-06-13,21.2,20.263499999999997,1167.166,1113.3780074999997,-53.7879925000002,-4.608426950408095,24,trailing_stop,False
DFDV,2025-06-13,42,2025-06-16,2025-06-17,27.83,31.6255,1170.0288599999997,1326.9427289999999,156.9138690000002,13.411110987467456,1,trailing_stop,False
DFDV,2025-06-17,41,2025-06-18,2025-06-20,30.2,30.950999999999997,1239.4381999999998,1267.722009,28.283809000000247,2.2819862256948653,2,trailing_stop,False
DFDV,2025-06-20,52,2025-06-23,2025-06-24,23.8,25.820999999999998,1238.8376,1341.349308,102.511708,8.274830211804996,1,trailing_stop,False
QBTS,2025-06-24,86,2025-06-25,2025-06-26,15.08,14.668,1298.17688,1260.186552,-37.99032800000009,-2.926436958267209,1,trailing_stop,False
DFDV,2025-06-26,73,2025-06-27,2025-06-30,17.75,17.099999999999998,1297.0457499999998,1247.0517,-49.99404999999979,-3.854455403751167,3,trailing_stop,False
DFDV,2025-06-30,62,2025-07-01,2025-07-02,20.23,21.185,1255.51426,1312.15653,56.64227000000005,4.511479622700576,1,trailing_stop,False
DFDV,2025-07-02,61,2025-07-03,2025-07-07,21.0,23.4555,1282.281,1429.3547145,147.07371450000005,11.469694591123169,4,trailing_stop,False
AER,2025-05-08,10,2025-05-09,2025-07-18,108.92,111.701,1090.2892,1115.89299,25.603790000000117,2.3483484932254717,70,trailing_stop,False
TPC,2025-07-07,28,2025-07-08,2025-07-18,47.78,51.6024,1339.17784,1443.4223328,104.24449279999999,7.7842157842157755,10,take_profit,False
SBET,2025-07-18,43,2025-07-21,2025-07-22,32.0,32.575405,1377.3759999999997,1399.3416725850002,21.965672585000448,1.594747736638391,1,trailing_stop,False
TRON,2025-07-18,124,2025-07-21,2025-07-22,10.1,10.554499999999999,1253.6523999999997,1307.449242,53.7968420000002,4.2912087912088115,1,trailing_stop,False
