trade_date,portfolio_value
2025-01-02,2000.0
2025-01-03,2019.5471600000003
2025-01-06,2072.9286488
2025-01-07,2006.3808288
2025-01-08,2118.8164527999998
2025-01-10,2028.1070584
2025-01-13,2094.1832584000003
2025-01-14,2166.9880584
2025-01-15,2196.836289400001
2025-01-16,2380.661429400001
2025-01-17,2323.636420600001
2025-01-21,2417.514250600001
2025-01-22,2384.1063112400007
2025-01-23,2571.6801212400014
2025-01-24,2504.246413740001
2025-01-27,2488.5617537400017
2025-01-28,2464.9600052400015
2025-01-29,2446.082405240002
2025-01-30,2444.589136460002
2025-01-31,2372.9036864600025
2025-02-03,2352.425176960003
2025-02-04,2495.2672569600027
2025-02-05,2447.481544960003
2025-02-06,2360.8193249600026
2025-02-07,2426.2385998800028
2025-02-10,2427.629649880003
2025-02-11,2463.0032158800022
2025-02-12,2606.3680808800023
2025-02-13,2588.1802383800023
2025-02-14,2585.9419383800027
2025-02-18,2620.6199245800026
2025-02-19,2601.1667845800034
2025-02-20,2591.7493125800033
2025-02-21,2431.754887580003
2025-02-24,2551.8743335800027
2025-02-25,2398.082723580003
2025-02-26,2578.5621475800026
2025-02-27,2473.8648015800027
2025-02-28,2612.6634335800027
2025-03-03,2513.417883580003
2025-03-04,2494.267288580003
2025-03-05,2671.1718277800037
2025-03-06,2529.307689780004
2025-03-07,2589.673609780004
2025-03-10,2478.9030477800043
2025-03-11,2862.518917590004
2025-03-12,2787.5227015900045
2025-03-13,2783.7793513250044
2025-03-14,2797.399391325004
2025-03-17,2897.189391325004
2025-03-18,2845.7158943250042
2025-03-19,2779.452394325005
2025-03-20,2793.2247148250044
2025-03-21,2875.0921548250044
2025-03-24,2930.5130608250047
2025-03-25,2838.540370825005
2025-03-26,2798.931622825005
2025-03-27,2773.783852825006
2025-03-28,2743.2586008250055
2025-03-31,2805.1858008250056
