Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
QURE,2025-01-02,56,2025-01-03,2025-01-06,17.55,17.565499999999997,983.7828,982.6843319999998,-1.098468000000139,-0.11165757319604452,3,trailing_stop,False
WGS,2025-01-02,12,2025-01-03,2025-01-06,79.17,85.5036,950.9900399999999,1025.0171568,74.02711680000016,7.784215784215798,3,take_profit,False
QURE,2025-01-06,56,2025-01-07,2025-01-08,18.44,18.221,1033.67264,1019.3556239999999,-14.31701600000008,-1.3850628763860895,1,trailing_stop,False
GEO,2025-01-06,34,2025-01-07,2025-01-10,29.27,31.611600000000003,996.1751799999998,1073.7196056,77.54442560000018,7.784215784215798,3,take_profit,False
DFNS,2025-01-08,50,2025-01-10,2025-01-13,20.98,20.139999999999997,1050.049,1005.9929999999999,-44.05600000000004,-4.195613728502201,3,trailing_stop,False
GEO,2025-01-10,30,2025-01-13,2025-01-15,30.56,33.0048,917.7167999999998,989.1538560000001,71.43705600000033,7.78421578421582,2,take_profit,False
DFNS,2025-01-13,65,2025-01-14,2025-01-15,16.08,16.625,1046.2451999999996,1079.544375,33.29917500000033,3.1827314476568613,1,trailing_stop,False
DFNS,2025-01-15,62,2025-01-16,2025-01-17,17.53,18.9324,1087.94686,1172.6349912,84.68813120000004,7.784215784215798,1,take_profit,False
GEO,2025-01-15,32,2025-01-16,2025-01-22,34.0,34.637,1089.088,1107.275616,18.187615999999935,1.6699858964564829,6,trailing_stop,False
DFNS,2025-01-17,39,2025-01-21,2025-01-22,29.03,31.25424,1133.30217,1217.69644464,84.39427464000005,7.446758408659893,1,trailing_stop,False
DFNS,2025-01-22,43,2025-01-23,2025-01-24,27.13,27.8065,1167.7565899999997,1194.4838204999999,26.727230500000132,2.2887672592796227,1,trailing_stop,False
FUBO,2025-01-22,28,2025-01-23,2025-01-24,43.2,46.626,1210.8096,1304.222472,93.41287199999988,7.714910089910076,1,trailing_stop,False
DFNS,2025-01-24,45,2025-01-27,2025-01-28,27.3,27.502499999999998,1229.7285,1236.3748874999999,6.646387499999946,0.5404760075089721,1,trailing_stop,False
FUBO,2025-01-24,26,2025-01-27,2025-01-28,47.16,45.486,1227.3861599999998,1181.453364,-45.932795999999826,-3.742326375914151,1,trailing_stop,False
