trade_date,portfolio_value
2025-04-21,2000.0
2025-04-22,2120.14204
2025-04-23,2149.5289040000002
2025-04-24,2109.2922680000006
2025-04-25,2175.9262634
2025-04-28,2356.0743894
2025-04-29,2313.1005143
2025-04-30,2335.4895978000004
2025-05-01,2285.5764698000003
2025-05-02,2249.1518098
2025-05-05,2316.5046173000005
2025-05-06,2375.6156173000004
2025-05-07,2357.3173973000007
2025-05-08,2237.9282018000013
2025-05-09,2321.8161595000015
2025-05-12,2416.4893095000016
2025-05-13,2462.0572795000016
2025-05-14,2463.6730795000017
2025-05-15,2486.7528495000015
2025-05-16,2503.874468500002
2025-05-19,2515.6444685000015
2025-05-20,2508.1380260000014
2025-05-21,2727.2270260000014
2025-05-22,2683.754861000002
2025-05-23,2597.840861000002
2025-05-27,2714.501772500002
2025-05-28,2705.836652500002
2025-05-29,2734.386652500002
2025-05-30,2710.7147140000025
2025-06-02,2802.2397140000026
2025-06-03,2772.822914000002
2025-06-04,2646.1651540000025
2025-06-05,2753.7635860000023
2025-06-06,3022.4553660000024
2025-06-09,2992.416159000002
2025-06-10,2943.8887590000027
2025-06-11,2950.626159000002
2025-06-12,3299.9139390000028
2025-06-13,3267.152027000003
2025-06-16,3428.4194055200032
2025-06-17,3354.428351020003
2025-06-18,3440.526271020003
2025-06-20,3488.0780350200034
2025-06-23,3478.774335020003
2025-06-24,3550.1283480200036
2025-06-25,3496.2473480200033
2025-06-26,3505.862052720003
2025-06-27,3495.0792527200033
2025-06-30,3486.905352720003
2025-07-01,3515.401292220003
2025-07-02,3554.308282220003
2025-07-03,3700.5422822200026
2025-07-07,3721.5767742200032
2025-07-08,3566.967551720003
2025-07-09,3636.9816117200035
2025-07-10,3667.778751720003
2025-07-11,3633.1742867200037
2025-07-14,3813.640146720004
2025-07-15,3717.162211720003
2025-07-16,4253.8962117200035
2025-07-17,4259.145433720003
2025-07-18,3974.134576720003
2025-07-21,4168.587051220004
2025-07-22,4329.3032462200035
2025-07-23,4364.019681220004
2025-07-24,4151.411591220004
2025-07-25,4045.605141220004
2025-07-28,4010.5001742200047
2025-07-29,3810.783536220004
2025-07-30,3963.881085720005
2025-07-31,3867.5930057200053
2025-08-01,3877.920696150006
2025-08-04,3911.499687150006
2025-08-05,4043.6133186150064
2025-08-06,4234.870764615006
2025-08-07,4233.171221015007
2025-08-08,4192.062058015008
2025-08-11,4158.408748915008
2025-08-12,4170.109423915008
2025-08-13,4121.536525475008
2025-08-14,4321.599704975008
2025-08-15,4246.643453975008
2025-08-18,4193.573047725009
2025-08-19,4109.876386385009
2025-08-20,4133.534795135009
2025-08-21,4224.764195135009
2025-08-22,4350.09954713501
2025-08-25,4248.09460713501
2025-08-26,4287.61456888501
2025-08-27,4241.25594888501
2025-08-28,4375.62611928501
2025-08-29,4260.22406178501
2025-09-02,4276.58556178501
2025-09-03,4301.743190585011
2025-09-04,4294.367310585011
2025-09-05,4393.238728185011
2025-09-08,4452.92216818501
2025-09-09,4379.50397818501
2025-09-10,4289.94935718501
2025-09-11,4298.88471718501
2025-09-12,4195.34357466501
2025-09-15,4269.34228466501
2025-09-16,4142.85878441501
2025-09-17,4150.8383044150105
2025-09-18,4155.01820441501
2025-09-19,4172.339004415011
2025-09-22,4227.08686841501
2025-09-23,4339.657868415011
2025-09-24,4363.815225530011
2025-09-25,4286.371175530011
2025-09-26,4332.748405530011
2025-09-29,4267.567295530011
2025-09-30,4359.59233977501
2025-10-01,4174.60341017501
2025-10-02,4268.269752175011
2025-10-03,4274.48325217501
2025-10-06,4521.527435475011
2025-10-07,4159.760315475011
2025-10-08,4582.037761975012
2025-10-09,4381.872241975012
2025-10-10,4560.212063475013
2025-10-13,4411.132625475013
2025-10-14,4498.631149010013
2025-10-15,4376.624412385014
2025-10-16,4335.687914385013
2025-10-17,4341.545858375014
2025-10-20,4304.026688375015
2025-10-21,4144.590036375013
2025-10-22,4172.7554051250145
2025-10-23,4104.128937625014
2025-10-24,4137.419662625014
2025-10-27,4082.119662625015
2025-10-28,4148.853495995014
2025-10-29,4128.824985995015
2025-10-30,4019.465459995014
2025-10-31,4099.742339995015
2025-11-03,4064.7871534950145
2025-11-04,3970.8741334950146
2025-11-05,3950.5064139950146
2025-11-06,3816.9704139950154
2025-11-07,3905.166091495015
2025-11-10,3794.642041495015
2025-11-11,3705.056307335015
2025-11-12,3908.441885335015
2025-11-13,3905.230199335015
2025-11-14,3914.4451593350154
2025-11-17,3902.5395823350154
2025-11-18,4043.3519348350155
2025-11-19,4014.516164835016
2025-11-20,3862.6902593350164
2025-11-21,4000.833759335016
2025-11-24,4013.8003743350164
2025-11-25,4110.290106335016
2025-11-26,4199.747089135017
2025-11-28,4108.214429135017
2025-12-01,3956.605030135017
2025-12-02,4140.339967720018
2025-12-03,4095.124016720017
2025-12-04,4217.606196720018
2025-12-05,4174.205312020017
2025-12-08,4290.896844020017
2025-12-09,4264.753394020018
2025-12-10,4393.790032445018
2025-12-11,4302.7108359450185
2025-12-12,4333.855848945019
2025-12-15,4231.578448945019
2025-12-16,4211.479715945019
2025-12-17,4117.242045945019
2025-12-18,4176.282940145018
2025-12-19,4259.024940145019
2025-12-22,4289.164940145019
2025-12-23,4282.042310145019
2025-12-24,4313.96538374502
2025-12-26,4292.798743745019
2025-12-29,4329.08874374502
2025-12-30,4318.01113424502
2025-12-31,4270.07073424502
2026-01-02,4206.384127765019
2026-01-05,4192.37950776502
2026-01-06,4208.65600376502
2026-01-07,4277.71985376502
2026-01-08,4230.80648709002
2026-01-09,4139.02727709002
2026-01-12,4194.268263105019
2026-01-13,4226.31151310502
2026-01-14,4159.34895510502
2026-01-15,4128.46566760502
2026-01-16,4005.84522760502
2026-01-20,4005.9620776050197
2026-01-21,4040.98069760502
2026-01-22,4032.12602460502
2026-01-23,3973.60352460502
2026-01-26,3927.40351710502
2026-01-27,3973.4038171050206
2026-01-28,3885.58270210502
2026-01-29,3866.5991221050203
2026-01-30,3863.6891221050205
2026-02-02,3964.379122105021
2026-02-03,3973.65318110502
2026-02-04,3862.4262510050207
2026-02-05,3898.0863110050204
2026-02-06,4051.120703005021
2026-02-09,4026.0949598050215
2026-02-10,4013.1689598050216
2026-02-11,4027.809579805021
2026-02-12,3979.321549905021
2026-02-13,3902.311002405021
2026-02-17,4052.3525496050215
2026-02-18,4101.238229605022
2026-02-19,4147.382269605022
2026-02-20,4107.951019605022
2026-02-23,4181.627798880023
2026-02-24,4596.231824880022
2026-02-25,4639.079732880023
2026-02-26,4594.703950380023
2026-02-27,4643.929150380023
2026-03-02,4527.289418380024
2026-03-03,4442.933426380023
2026-03-04,4522.541676380024
2026-03-05,4382.027955130023
2026-03-06,4446.899925130024
2026-03-09,4386.108902130023
2026-03-10,4438.114542130024
2026-03-11,4379.767570130023
2026-03-12,4325.517730130024
2026-03-13,4318.443890130024
2026-03-16,4361.516890130023
2026-03-17,4364.386890130023
2026-03-18,4307.719355130023
2026-03-19,4301.873155130024
2026-03-20,4283.991375130024
2026-03-23,4283.554435130024
2026-03-24,4289.444435130024
2026-03-25,4290.514435130024
2026-03-26,4289.774435130024
2026-03-27,4291.024435130024
2026-03-30,4334.084435130025
2026-03-31,4340.594435130024
2026-04-01,4320.794435130025
2026-04-02,4332.124435130025
2026-04-06,4330.754435130024
2026-04-07,4330.434435130024
2026-04-08,4329.484435130024
2026-04-09,4333.8644351300245
2026-04-10,4333.394435130024
2026-04-13,4334.964435130025
2026-04-14,4327.8244351300245
2026-04-15,4302.374435130025
2026-04-16,4303.274435130024
2026-04-17,4304.934435130024
