Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,87,2025-04-22,2025-04-23,7.57,8.9205,659.2485899999999,775.3074165,116.05882650000012,17.604713648306802,1,trailing_stop,False
SRAD,2025-04-21,27,2025-04-22,2025-04-23,23.97,24.5575,647.8371899999999,662.3894475,14.55225750000011,2.246283128636084,1,trailing_stop,False
DFDV,2025-04-23,92,2025-04-24,2025-04-25,7.733,7.84605,712.1474359999999,721.1147634,8.967327400000158,1.2591953501044584,1,trailing_stop,False
QBTS,2025-04-23,96,2025-04-24,2025-04-25,7.2,7.257999999999999,691.8912,696.0712319999999,4.180031999999869,0.6041458541458322,1,trailing_stop,False
DFDV,2025-04-25,94,2025-04-28,2025-04-29,7.671,9.031649999999999,721.795074,848.1261248999999,126.33105089999992,17.50234317891728,1,trailing_stop,False
BBVA,2025-04-21,53,2025-04-22,2025-04-30,13.06,13.176499999999999,692.87218,697.6561454999999,4.783965499999908,0.6904542624297516,8,trailing_stop,False
LB,2025-04-25,10,2025-04-28,2025-04-30,71.68,70.737,717.5168,706.6626299999999,-10.854170000000067,-1.5127408863458092,2,trailing_stop,False
DFDV,2025-04-29,78,2025-04-30,2025-05-01,9.714,10.336,758.4496919999999,805.401792,46.95210000000009,6.190535838466671,1,trailing_stop,False
PPC,2025-04-30,16,2025-05-01,2025-05-02,46.17,44.365,739.45872,709.13016,-30.328559999999925,-4.1014541014540935,1,trailing_stop,False
DFDV,2025-05-01,63,2025-05-02,2025-05-05,12.14,12.3975,765.5848199999999,780.2614575,14.676637500000083,1.917049178169461,3,trailing_stop,False
QURE,2025-05-02,45,2025-05-05,2025-05-06,15.97,15.389999999999999,719.3686499999999,691.85745,-27.511199999999917,-3.8243534799577317,1,trailing_stop,False
DFDV,2025-05-05,75,2025-05-06,2025-05-07,9.286,9.994,697.1464499999998,748.80045,51.65400000000011,7.409347060434746,1,trailing_stop,False
TPR,2025-04-30,10,2025-05-01,2025-05-08,69.62,75.18960000000001,696.8962,751.1441040000002,54.247904000000176,7.78421578421582,7,take_profit,False
LB,2025-05-06,9,2025-05-07,2025-05-08,77.63,75.0025,699.3686699999998,674.3474775000001,-25.021192499999756,-3.577682783531,1,trailing_stop,False
DFDV,2025-05-07,81,2025-05-08,2025-05-09,9.417,9.0383,763.5397769999998,731.3701977000001,-32.16957929999978,-4.2132159016516795,1,trailing_stop,False
DFDV,2025-05-09,65,2025-05-12,2025-05-13,11.49,13.262,747.5968499999999,861.16797,113.57112000000006,15.191492580526544,1,trailing_stop,False
DFDV,2025-05-13,60,2025-05-14,2025-05-15,13.57,13.6705,815.0142,819.40977,4.395570000000021,0.5393243455144692,1,trailing_stop,False
SRAD,2025-05-08,35,2025-05-09,2025-05-20,22.88,23.4555,801.6007999999998,820.1215575,18.520757500000173,2.3104714341602772,11,trailing_stop,False
UPXI,2025-05-20,83,2025-05-21,2025-05-22,10.0,12.254999999999999,830.8299999999999,1016.147835,185.31783500000006,22.305144855144853,1,trailing_stop,False
DFDV,2025-05-22,23,2025-05-23,2025-05-27,38.0,38.1995,874.8739999999999,877.7099115000001,2.8359115000001793,0.32415084915087267,4,trailing_stop,False
GRPN,2025-05-27,31,2025-05-28,2025-05-30,28.52,28.4335,885.00412,880.5570615,-4.447058499999912,-0.5024901465995324,2,trailing_stop,False
GRPN,2025-05-30,30,2025-06-02,2025-06-03,29.5,31.860000000000003,885.8849999999999,954.8442000000001,68.95920000000024,7.78421578421582,1,take_profit,False
DFDV,2025-06-03,48,2025-06-04,2025-06-05,19.12,18.5535,918.6777599999999,889.677432,-29.000327999999968,-3.1567464961816394,1,trailing_stop,False
DFDV,2025-06-05,62,2025-06-06,2025-06-09,14.81,18.6485,919.1382199999999,1155.0507929999999,235.91257299999995,25.666713435113152,3,trailing_stop,False
ASST,2025-06-09,8,2025-06-10,2025-06-11,110.8,105.44999999999999,887.2863999999998,842.7563999999999,-44.52999999999997,-5.018672663076995,1,trailing_stop,False
