Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,2639,2025-04-22,2025-04-22,7.57,8.9205,19997.207229999996,23517.658300500003,3520.4510705000066,17.604713648306824,0,trailing_stop,True
SRAD,2025-04-21,833,2025-04-22,2025-04-22,23.97,24.5575,19986.977009999995,20435.9411025,448.9640925000058,2.2462831286361062,0,trailing_stop,True
DFDV,2025-04-22,3294,2025-04-23,2025-04-23,6.371,7.93155,21007.060073999997,26100.399174299997,5093.3391003,24.245844408299288,0,trailing_stop,True
DFDV,2025-04-23,2863,2025-04-24,2025-04-24,7.733,7.84605,22161.718578999997,22440.777908850003,279.0593298500062,1.2591953501044584,0,trailing_stop,True
DFDV,2025-04-24,3000,2025-04-25,2025-04-25,7.443,8.5405,22351.328999999998,25595.8785,3244.549500000001,14.51613682568944,0,trailing_stop,True
SAN,2025-04-21,2973,2025-04-22,2025-04-28,6.729,7.267320000000001,20025.322317,21584.13661764,1558.8143006400023,7.784215784215798,6,take_profit,False
DFDV,2025-04-25,3024,2025-04-28,2025-04-28,7.671,9.031649999999999,23220.301104,27284.3978904,4064.0967864000013,17.5023431789173,0,trailing_stop,True
DFDV,2025-04-28,2518,2025-04-29,2025-04-29,9.523,10.563999999999998,24002.892913999996,26573.551847999996,2570.658933999999,10.709787954353732,0,trailing_stop,True
BBVA,2025-04-21,1530,2025-04-22,2025-04-30,13.06,13.176499999999999,20001.781799999997,20139.884954999998,138.1031550000007,0.6904542624297738,8,trailing_stop,False
LB,2025-04-28,335,2025-04-29,2025-04-30,73.04,70.6515,24492.8684,23644.5842475,-848.2841525000003,-3.463392439980617,1,trailing_stop,False
DFDV,2025-04-29,2507,2025-04-30,2025-04-30,9.714,10.336,24377.350997999998,25886.439648,1509.0886500000015,6.190535838466671,0,trailing_stop,True
DFDV,2025-04-30,2447,2025-05-01,2025-05-01,9.999,11.399999999999999,24492.020553,27867.904199999997,3375.8836469999987,13.783606132841042,0,trailing_stop,True
PPC,2025-04-30,548,2025-05-01,2025-05-01,46.17,44.365,25326.461159999995,24287.70798,-1038.753179999996,-4.101454101454083,0,trailing_stop,True
DFDV,2025-05-01,2074,2025-05-02,2025-05-02,12.14,12.3975,25203.53836,25686.702585,483.16422500000044,1.9170491781694388,0,trailing_stop,True
DFDV,2025-05-02,2468,2025-05-05,2025-05-05,10.3,10.45,25445.820399999997,25764.8094,318.9890000000014,1.2536007681638761,0,trailing_stop,True
CORT,2025-05-01,345,2025-05-02,2025-05-06,71.88,71.63475,24823.398599999997,24689.27476125,-134.12383874999796,-0.5403121502871033,4,trailing_stop,False
DFDV,2025-05-05,2723,2025-05-06,2025-05-06,9.286,9.994,25311.063777999996,27186.448338000002,1875.3845600000059,7.409347060434746,0,trailing_stop,True
AHR,2025-04-22,737,2025-04-23,2025-05-07,29.77,32.1516,21962.430489999995,23672.0334708,1709.6029808000058,7.78421578421582,14,take_profit,False
DFDV,2025-05-06,2533,2025-05-07,2025-05-07,10.2,9.984499999999999,25862.436599999997,25265.447761499996,-596.9888385000013,-2.3083240289122675,0,trailing_stop,True
TPR,2025-04-30,361,2025-05-01,2025-05-08,69.62,75.8385,25157.952820000002,27350.3208015,2192.367981499996,8.714413279911692,7,trailing_stop,False
LB,2025-05-06,325,2025-05-07,2025-05-08,77.63,75.0025,25254.97975,24351.4366875,-903.5430624999972,-3.577682783531022,1,trailing_stop,False
DFDV,2025-05-07,2692,2025-05-08,2025-05-08,9.417,9.0383,25375.914563999995,24306.772496399997,-1069.142067599998,-4.213215901651701,0,trailing_stop,True
PRCH,2025-05-07,2311,2025-05-08,2025-05-08,10.65,10.782499999999999,24636.76215,24893.4391425,256.6769925000008,1.0418454784651976,0,trailing_stop,True
DFDV,2025-05-08,2899,2025-05-09,2025-05-09,8.813,10.820500000000001,25574.435887,31337.260870500002,5762.824983500002,22.533537040515373,0,trailing_stop,True
SRAD,2025-05-08,1164,2025-05-09,2025-05-12,22.88,22.1255,26658.952319999997,25728.327918,-930.6244019999976,-3.4908513689107967,3,trailing_stop,False
TPR,2025-05-08,345,2025-05-09,2025-05-12,77.24,83.4192,26674.447799999998,28750.844376,2076.396576000003,7.784215784215798,3,take_profit,False
DFDV,2025-05-09,2362,2025-05-12,2025-05-12,11.49,13.262,27166.519379999998,31293.519156000002,4126.999776000004,15.191492580526544,0,trailing_stop,True
DFDV,2025-05-12,2065,2025-05-13,2025-05-13,13.5,13.2905,27905.3775,27417.4376175,-487.93988249999893,-1.7485514485514497,0,trailing_stop,True
UPXI,2025-05-12,2585,2025-05-13,2025-05-13,10.71,10.459499999999998,27713.03535,27010.769692499995,-702.2656575000037,-2.534062576079399,0,trailing_stop,True
DFDV,2025-05-13,2048,2025-05-14,2025-05-14,13.57,13.6705,27819.151359999996,27969.186816,150.03545600000507,0.5393243455144914,0,trailing_stop,True
QBTS,2025-05-13,2536,2025-05-14,2025-05-14,10.94,11.058,27771.583839999996,28015.044912,243.46107200000552,0.876655337350063,0,trailing_stop,True
UPXI,2025-05-14,2911,2025-05-15,2025-05-15,9.6,9.4145,27973.545599999994,27378.2038905,-595.3417094999932,-2.1282311438561186,0,trailing_stop,True
RBRK,2025-05-15,318,2025-05-16,2025-05-19,87.5,83.125,27852.824999999997,26407.31625,-1445.5087499999972,-5.189810189810185,3,trailing_stop,False
DFDV,2025-05-19,1457,2025-05-20,2025-05-20,19.18,25.517,27973.205259999995,37141.090731,9167.885471000001,32.77381117318554,0,trailing_stop,True
UPXI,2025-05-20,2961,2025-05-21,2025-05-21,10.0,12.254999999999999,29639.609999999997,36250.767945,6611.157945000003,22.305144855144874,0,trailing_stop,True
DFDV,2025-05-21,912,2025-05-22,2025-05-22,33.92,51.186,30965.975039999998,46634.950368,15668.975328,50.60061989896896,0,trailing_stop,True
DFDV,2025-05-22,894,2025-05-23,2025-05-23,38.0,38.1995,34005.971999999994,34116.202647000006,110.23064700001123,0.32415084915087267,0,trailing_stop,True
GRPN,2025-05-23,1277,2025-05-27,2025-05-27,26.87,27.057425,34347.30299,34517.779393275,170.47640327500267,0.4963312645672291,0,trailing_stop,True
GRPN,2025-05-27,1193,2025-05-28,2025-05-30,28.52,28.4335,34058.38436,33887.24433449999,-171.1400255000044,-0.5024901465995546,2,trailing_stop,False
GRPN,2025-05-30,1161,2025-06-02,2025-06-02,29.5,30.8275,34283.7495,35754.9367725,1471.1872724999994,4.291208791208789,0,trailing_stop,True
BBVA,2025-05-12,1935,2025-05-13,2025-06-03,14.12,14.307,27349.522199999996,27656.360955,306.8387550000043,1.1219163272987887,21,trailing_stop,False
