trade_date,portfolio_value
2025-04-21,100000.0
2025-04-22,102806.17443460002
2025-04-23,104670.79501950002
2025-04-24,104280.75015165002
2025-04-25,103544.89680215002
2025-04-28,103732.26655944003
2025-04-29,102412.73975019004
2025-04-30,98906.56187499003
2025-05-01,99671.22046843002
2025-05-02,99397.21985543004
2025-05-05,97820.94205593003
2025-05-06,98782.75012533003
2025-05-07,97489.35820533006
2025-05-08,98391.26691333007
2025-05-09,99931.89545829006
2025-05-12,103613.44499429007
2025-05-13,101763.18469129008
2025-05-14,102036.97866129008
2025-05-15,102684.21491879006
2025-05-16,102652.96507379008
2025-05-19,102443.53569879007
2025-05-20,101139.47201779007
2025-05-21,101363.31744379009
2025-05-22,104015.23046699009
2025-05-23,103419.27974619009
2025-05-27,104180.2039886901
2025-05-28,103081.43096079011
2025-05-29,103623.11584079011
2025-05-30,103735.35818879012
2025-06-02,106066.92842879011
2025-06-03,107894.43000799013
2025-06-04,106490.31824199014
2025-06-05,105888.05004199014
2025-06-06,105158.98921849013
2025-06-09,102977.61776749013
2025-06-10,100472.20443149014
2025-06-11,103915.65755149013
2025-06-12,103703.80299549014
2025-06-13,101858.39815049015
2025-06-16,104736.19066909014
2025-06-17,104586.83688809015
2025-06-18,104170.61176059015
2025-06-20,103335.77931359016
2025-06-23,101687.71508359017
2025-06-24,103692.94627359016
2025-06-25,101125.84082709017
2025-06-26,100341.04700164017
2025-06-27,99180.96543914017
2025-06-30,98042.46733914017
2025-07-01,96781.72273514015
2025-07-02,96946.45574514016
2025-07-03,98898.81670514017
2025-07-07,98392.80338114017
2025-07-08,96204.69025764018
2025-07-09,95661.77946664018
2025-07-10,95669.84028664017
2025-07-11,94506.77032514018
2025-07-14,96455.16394114018
2025-07-15,97243.6071551402
2025-07-16,97491.55047514019
2025-07-17,96804.41506564019
2025-07-18,96559.8614481402
2025-07-21,95329.63874274021
2025-07-22,92831.3526747402
2025-07-23,94911.96934899021
2025-07-24,91233.58687524023
2025-07-25,90611.20587354022
2025-07-28,88017.32491854024
2025-07-29,85376.23034813022
2025-07-30,84869.54779713025
2025-07-31,83230.42013513025
2025-08-01,82289.35098013026
2025-08-04,84826.84235363026
2025-08-05,86905.50673603025
2025-08-06,85022.28878373026
2025-08-07,86751.58858213027
2025-08-08,86395.66014838027
2025-08-11,85789.07998632027
2025-08-12,87420.12434632027
2025-08-13,87851.39294112028
2025-08-14,88154.55310862028
2025-08-15,86500.67955862028
2025-08-18,87131.0680126203
2025-08-19,85190.98986451529
2025-08-20,86222.74436201528
2025-08-21,86596.8051290153
2025-08-22,87288.07159351528
2025-08-25,87053.25171351529
2025-08-26,87386.4985890653
2025-08-27,87218.34198906529
2025-08-28,88638.7586290653
2025-08-29,87201.74750106529
2025-09-02,87924.27900106528
2025-09-03,88465.0765103653
2025-09-04,88504.1121055653
2025-09-05,89765.16111776532
2025-09-08,91224.48357936532
2025-09-09,90984.08481936532
2025-09-10,89179.05112036532
2025-09-11,88037.15530336532
2025-09-12,87512.34700336531
2025-09-15,88139.34077236534
2025-09-16,86702.89178836532
2025-09-17,87421.09132596533
2025-09-18,87578.32490096532
2025-09-19,87221.72362096532
2025-09-22,87497.19026896532
2025-09-23,86550.61986896534
2025-09-24,86302.35841646533
2025-09-25,84804.72950446533
