Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,2639,2025-04-22,2025-04-22,7.57,8.175600000000001,19997.207229999996,21553.832991600004,1556.6257616000075,7.78421578421582,0,take_profit,True
SRAD,2025-04-21,833,2025-04-22,2025-04-23,23.97,24.5575,19986.977009999995,20435.9411025,448.9640925000058,2.2462831286361062,1,trailing_stop,False
DFDV,2025-04-22,3195,2025-04-23,2025-04-23,6.371,6.880680000000001,20375.700344999997,21961.788827400003,1586.088482400006,7.78421578421582,0,take_profit,True
DFDV,2025-04-23,2711,2025-04-24,2025-04-24,7.733,7.346349999999999,20985.127162999997,19896.03889515,-1089.0882678499984,-5.189810189810185,0,trailing_stop,True
QBTS,2025-04-23,2863,2025-04-24,2025-04-25,7.2,7.257999999999999,20634.2136,20758.874345999997,124.66074599999774,0.6041458541458322,1,trailing_stop,False
DFDV,2025-04-24,2830,2025-04-25,2025-04-25,7.443,7.070849999999999,21084.753689999998,19990.4949945,-1094.258695499997,-5.189810189810173,0,trailing_stop,True
SAN,2025-04-21,2973,2025-04-22,2025-04-28,6.729,7.267320000000001,20025.322317,21584.13661764,1558.8143006400023,7.784215784215798,6,take_profit,False
DFDV,2025-04-25,2703,2025-04-28,2025-04-28,7.671,7.28745,20755.447712999998,19678.279372650002,-1077.1683403499956,-5.189810189810173,0,trailing_stop,True
DFDV,2025-04-28,2165,2025-04-29,2025-04-29,9.523,9.04685,20637.912294999995,19566.843819749996,-1071.0684752499983,-5.189810189810185,0,trailing_stop,True
BBVA,2025-04-21,1530,2025-04-22,2025-04-30,13.06,13.176499999999999,20001.781799999997,20139.884954999998,138.1031550000007,0.6904542624297738,8,trailing_stop,False
LB,2025-04-25,289,2025-04-28,2025-04-30,71.68,70.737,20736.23552,20422.550006999998,-313.68551300000036,-1.512740886345798,2,trailing_stop,False
SAN,2025-04-28,2866,2025-04-29,2025-04-30,7.199,6.8856,20652.966333999997,19714.3954704,-938.5708635999981,-4.544484547262706,1,trailing_stop,False
DFDV,2025-04-29,2012,2025-04-30,2025-04-30,9.714,9.2283,19564.112567999997,18548.772260400005,-1015.3403075999922,-5.189810189810151,0,trailing_stop,True
DFDV,2025-04-30,1968,2025-05-01,2025-05-01,9.999,10.79892,19697.710032,21231.02228544,1533.3122534400027,7.784215784215798,0,take_profit,True
PPC,2025-04-30,426,2025-05-01,2025-05-02,46.17,44.365,19688.08842,18880.59051,-807.4979099999982,-4.1014541014540935,1,trailing_stop,False
DFDV,2025-05-01,1651,2025-05-02,2025-05-02,12.14,11.533,20063.183139999997,19021.942017,-1041.2411229999962,-5.189810189810173,0,trailing_stop,True
DFDV,2025-05-02,1897,2025-05-05,2025-05-05,10.3,9.785,19558.6391,18543.582855,-1015.0562449999998,-5.189810189810185,0,trailing_stop,True
QURE,2025-05-02,1223,2025-05-05,2025-05-05,15.97,15.1715,19550.84131,18536.1897555,-1014.6515545000002,-5.189810189810196,0,trailing_stop,True
CORT,2025-04-30,277,2025-05-01,2025-05-06,71.2,70.585,19742.1224,19532.492954999998,-209.6294450000023,-1.0618384424564309,5,trailing_stop,False
DFDV,2025-05-05,1995,2025-05-06,2025-05-06,9.286,10.028880000000001,18544.095569999998,19987.6079844,1443.5124144000038,7.784215784215798,0,take_profit,True
DFDV,2025-05-06,1936,2025-05-07,2025-05-07,10.2,9.69,19766.947199999995,18741.08016,-1025.8670399999937,-5.189810189810162,0,trailing_stop,True
TPR,2025-04-30,282,2025-05-01,2025-05-08,69.62,75.18960000000001,19652.47284,21182.263732800002,1529.7908928000033,7.784215784215798,7,take_profit,False
LB,2025-05-05,245,2025-05-06,2025-05-08,75.54,75.0025,18525.8073,18357.2368875,-168.5704125000011,-0.9099220874439373,2,trailing_stop,False
QBTS,2025-05-06,2724,2025-05-07,2025-05-08,7.12,7.6896,19414.274879999997,20925.523929600004,1511.2490496000064,7.78421578421582,1,take_profit,False
DFDV,2025-05-07,2026,2025-05-08,2025-05-08,9.417,8.94615,19097.920842,18106.7750001,-991.145841900001,-5.189810189810196,0,trailing_stop,True
DFDV,2025-05-08,2226,2025-05-09,2025-05-09,8.813,9.518040000000001,19637.355738,21165.969882960002,1528.6141449600036,7.784215784215798,0,take_profit,True
TPR,2025-05-08,254,2025-05-09,2025-05-12,77.24,83.4192,19638.578959999995,21167.2883232,1528.7093632000033,7.784215784215798,3,take_profit,False
DFDV,2025-05-09,1766,2025-05-12,2025-05-12,11.49,12.4092,20311.631339999996,21892.7325528,1581.1012128000039,7.784215784215798,0,take_profit,True
DFDV,2025-05-12,1537,2025-05-13,2025-05-13,13.5,12.825,20770.249499999998,19692.312974999997,-1077.936525000001,-5.189810189810196,0,trailing_stop,True
UPXI,2025-05-12,1924,2025-05-13,2025-05-13,10.71,10.1745,20626.64604,19556.162262,-1070.483777999998,-5.189810189810185,0,trailing_stop,True
DFDV,2025-05-13,1501,2025-05-14,2025-05-15,13.57,13.6705,20388.93857,20498.9010795,109.96250950000103,0.5393243455144692,1,trailing_stop,False
QBTS,2025-05-13,1859,2025-05-14,2025-05-15,10.94,11.058,20357.797459999998,20536.265178,178.46771800000352,0.876655337350063,1,trailing_stop,False
RBRK,2025-05-15,235,2025-05-16,2025-05-19,87.5,83.125,20583.062499999996,19514.840625,-1068.2218749999956,-5.189810189810173,3,trailing_stop,False
SRAD,2025-05-08,858,2025-05-09,2025-05-20,22.88,23.4555,19650.671039999997,20104.694181,454.0231410000015,2.310471434160255,11,trailing_stop,False
DFDV,2025-05-19,1062,2025-05-20,2025-05-20,19.18,18.221,20389.52916,19331.351298,-1058.1778619999968,-5.189810189810173,0,trailing_stop,True
UPXI,2025-05-20,1970,2025-05-21,2025-05-21,10.0,10.8,19719.699999999997,21254.724,1535.0240000000013,7.784215784215798,0,take_profit,True
DFDV,2025-05-20,586,2025-05-21,2025-05-21,33.62,31.938999999999997,19721.021319999996,18697.537745999998,-1023.483573999998,-5.189810189810185,0,trailing_stop,True
DFDV,2025-05-21,588,2025-05-22,2025-05-22,33.92,36.6336,19964.90496,21519.016243200003,1554.1112832000035,7.784215784215798,0,take_profit,True
PRCH,2025-05-21,2139,2025-05-22,2025-05-23,9.34,10.087200000000001,19998.238259999995,21554.9442792,1556.7060192000063,7.78421578421582,1,take_profit,False
DFDV,2025-05-22,550,2025-05-23,2025-05-23,38.0,36.1,20920.899999999998,19835.145,-1085.7549999999974,-5.189810189810173,0,trailing_stop,True
DFDV,2025-05-23,573,2025-05-27,2025-05-27,36.65,34.817499999999995,21021.450449999997,19930.477072499998,-1090.9733774999986,-5.189810189810185,0,trailing_stop,True
GRPN,2025-05-23,774,2025-05-27,2025-05-28,26.87,29.019600000000004,20818.177379999997,22438.7092296,1620.5318496000036,7.784215784215798,1,take_profit,False
QURE,2025-05-27,1285,2025-05-28,2025-05-28,15.61,14.8295,20078.908849999996,19036.8515925,-1042.057257499997,-5.189810189810173,0,trailing_stop,True
GRPN,2025-05-28,712,2025-05-29,2025-05-30,28.95,28.4335,20633.012399999996,20224.407347999997,-408.605051999999,-1.9803460787916727,1,trailing_stop,False
GRPN,2025-05-30,691,2025-06-02,2025-06-02,29.5,31.860000000000003,20404.884499999996,21993.244740000002,1588.3602400000054,7.78421578421582,0,take_profit,True
ODD,2025-05-28,284,2025-05-29,2025-06-03,72.58,78.38640000000001,20633.33272,22239.475862400002,1606.1431424000039,7.784215784215798,5,take_profit,False
DFDV,2025-06-02,1062,2025-06-03,2025-06-03,19.92,21.513600000000004,21176.19504,22824.595756800005,1648.4007168000062,7.78421578421582,0,take_profit,True
DFDV,2025-06-03,1124,2025-06-04,2025-06-04,19.12,18.164,21512.37088,20395.919664000005,-1116.451215999994,-5.189810189810162,0,trailing_stop,True
