trade_date,portfolio_value
2025-04-21,100000.0
2025-04-22,103736.62144300001
2025-04-23,105048.53184600001
2025-04-24,103981.22255300001
2025-04-25,108341.21395150002
2025-04-28,114294.63069814001
2025-04-29,117593.43581314002
2025-04-30,117057.29933074003
2025-05-01,117933.59404074002
2025-05-02,117256.55077574002
2025-05-05,119728.46247074002
2025-05-06,120824.42482899004
2025-05-07,119471.02275899003
2025-05-08,127033.93472049003
2025-05-09,134604.09798799007
2025-05-12,139107.67561959004
2025-05-13,138886.67998059007
2025-05-14,140436.08215709004
2025-05-15,141200.94055059005
2025-05-16,140688.89955059002
2025-05-19,140845.93330059006
2025-05-20,151034.95162059006
2025-05-21,165238.75692259008
2025-05-22,173706.38884259004
2025-05-23,181647.20767859006
2025-05-27,185183.06160859007
2025-05-28,184422.32753299008
2025-05-29,184917.29431299007
2025-05-30,186211.93831299007
2025-06-02,187752.4283129901
2025-06-03,187619.05805039007
2025-06-04,182561.83468039008
2025-06-05,186738.82403439007
2025-06-06,197723.0239743901
2025-06-09,209139.9845063901
2025-06-10,207931.7357063901
2025-06-11,221509.9763463901
2025-06-12,238721.7114263901
2025-06-13,236720.1207543901
2025-06-16,244584.27606567013
2025-06-17,240728.5970156701
2025-06-18,244432.1597056701
2025-06-20,244147.30017917012
2025-06-23,247879.07812817013
2025-06-24,250818.64074617013
2025-06-25,242045.82982217014
2025-06-26,247363.68614817012
2025-06-27,244116.77099817013
2025-06-30,257368.0816761701
2025-07-01,258834.1480671701
2025-07-02,262307.83924717014
2025-07-03,269582.1212471701
2025-07-07,267920.84068617015
2025-07-08,260677.04046617012
2025-07-09,263544.52840617014
2025-07-10,265005.88523617014
2025-07-11,264333.2661031701
2025-07-14,272801.7583231702
2025-07-15,269597.45845667017
2025-07-16,292010.2284566702
2025-07-17,304730.7522826701
2025-07-18,293299.58903667016
2025-07-21,301112.2185364202
2025-07-22,307745.27023142023
2025-07-23,316064.2807978202
2025-07-24,306666.20748282026
2025-07-25,306694.22590982023
2025-07-28,301008.01982932026
2025-07-29,301393.4542915402
2025-07-30,305363.8123710402
2025-07-31,302598.6290225403
2025-08-01,299648.71384162025
2025-08-04,310550.9091089203
2025-08-05,323502.2354702403
2025-08-06,326830.8644677403
2025-08-07,332102.47037774033
2025-08-08,336705.52513718035
2025-08-11,330236.4134821804
2025-08-12,353355.0240291804
2025-08-13,360264.0219116804
2025-08-14,357991.2564766804
2025-08-15,345312.20580668043
2025-08-18,348067.67772168043
2025-08-19,339486.0351609255
2025-08-20,343220.72841867537
2025-08-21,346511.37001867546
2025-08-22,354024.62171467545
2025-08-25,350083.46977467544
2025-08-26,351034.64872942545
2025-08-27,349543.7443644255
2025-08-28,356313.2714254255
2025-08-29,349532.25034692546
2025-09-02,350059.40616692544
2025-09-03,352941.5259429255
2025-09-04,352524.53474292543
2025-09-05,355403.00831192546
2025-09-08,365436.40765192546
2025-09-09,360288.0514821254
2025-09-10,350871.88355712546
2025-09-11,355376.2098318754
2025-09-12,349518.4908018755
2025-09-15,353694.7586233755
2025-09-16,348556.4849913755
2025-09-17,347322.07223637553
2025-09-18,346768.8310163755
2025-09-19,343718.5074077955
2025-09-22,347971.80570779555
2025-09-23,344138.41527529556
2025-09-24,343479.04248529556
2025-09-25,343758.21991079557
2025-09-26,342718.89108004555
2025-09-29,344983.29181470553
2025-09-30,333610.4482843055
2025-10-01,355040.63395430555
2025-10-02,356154.27253964555
2025-10-03,357373.7067635806
2025-10-06,379881.05760018056
2025-10-07,378587.6752901806
2025-10-08,386877.1149041806
2025-10-09,405304.8193511806
2025-10-10,398811.37542861555
2025-10-13,397590.9311646155
2025-10-14,407527.3559771155
2025-10-15,400247.6201048855
2025-10-16,395690.0284728855
2025-10-17,396246.79558788554
2025-10-20,391476.6710653855
2025-10-21,379594.1600163855
2025-10-22,389964.4858863855
2025-10-23,390393.03092263546
2025-10-24,390667.7084598555
2025-10-27,390504.13741414045
2025-10-28,391957.0210931405
2025-10-29,383734.51796214044
2025-10-30,380158.31059746543
2025-10-31,390205.48845086043
2025-11-03,377099.2930822754
2025-11-04,379346.2928872754
2025-11-05,385987.60419427545
2025-11-06,378566.7758942754
2025-11-07,384475.8983512754
2025-11-10,383381.3047609554
2025-11-11,373087.4892879154
2025-11-12,385839.3999869154
2025-11-13,387036.9187629154
2025-11-14,390198.37613520544
2025-11-17,388383.74074970547
2025-11-18,398216.48102320544
2025-11-19,400475.3764132054
2025-11-20,394098.64492670534
2025-11-21,404068.4451667054
2025-11-24,405576.6303460654
2025-11-25,414222.4449260654
2025-11-26,419892.6695930654
2025-11-28,412645.1138530654
2025-12-01,402127.69976756535
2025-12-02,413032.9270168254
2025-12-03,412792.0681103255
2025-12-04,424219.1360223255
2025-12-05,422662.3263636255
2025-12-08,427716.8809496255
2025-12-09,429222.65816712554
2025-12-10,436701.4675326656
2025-12-11,431420.54736766557
2025-12-12,431827.4720266656
2025-12-15,431728.1623766656
2025-12-16,426823.46296449564
2025-12-17,416881.71276449563
2025-12-18,422303.9644361456
2025-12-19,425527.3222011457
2025-12-22,425570.08720714564
2025-12-23,429923.67918714567
2025-12-24,432084.0291871457
2025-12-26,428481.30918714567
2025-12-29,429449.20920284564
2025-12-30,427021.95432134566
2025-12-31,424129.54092134564
2026-01-02,421256.62718169566
2026-01-05,420209.9491796957
2026-01-06,422550.9525776957
2026-01-07,428078.1835276957
2026-01-08,422546.3385088057
2026-01-09,415992.89079880575
2026-01-12,421909.7630967957
2026-01-13,425031.49021679576
2026-01-14,424616.2926167957
2026-01-15,422104.8536367957
2026-01-16,418271.7616362957
2026-01-20,412899.0584772957
2026-01-21,414796.5670572957
2026-01-22,412161.8385952957
2026-01-23,406497.2101952957
2026-01-26,410034.98294779565
2026-01-27,415107.3508091857
2026-01-28,414885.41197918565
2026-01-29,410743.6524786857
2026-01-30,411521.7304786857
2026-02-02,416986.2409636857
2026-02-03,420636.8919136857
2026-02-04,409665.6554137857
2026-02-05,405743.89135378576
2026-02-06,413811.82706578576
2026-02-09,411734.02695828583
2026-02-10,410729.5487692858
2026-02-11,410689.2275832058
2026-02-12,408813.3524619558
2026-02-13,402051.2860019558
2026-02-17,407803.1122063458
2026-02-18,410969.9916363458
2026-02-19,415166.9793387258
2026-02-20,412149.2667387258
2026-02-23,415906.6707487258
2026-02-24,447495.6042967259
2026-02-25,458611.77823992085
2026-02-26,453829.6585424209
2026-02-27,455831.8445729959
2026-03-02,454565.6272824959
2026-03-03,449074.32478349586
2026-03-04,455478.6476034959
2026-03-05,446770.8207187459
2026-03-06,450190.46149874595
2026-03-09,445760.0082147459
2026-03-10,447826.12803474604
2026-03-11,444171.329381746
2026-03-12,436993.17933174607
2026-03-13,437542.217664746
2026-03-16,440715.50221474597
2026-03-17,440974.334336746
2026-03-18,440310.642386746
2026-03-19,438600.69739874604
2026-03-20,436264.659158746
2026-03-23,434401.861225746
2026-03-24,431066.74770574603
2026-03-25,437053.60208074603
2026-03-26,436806.12276074605
2026-03-27,435012.39547662606
2026-03-30,438112.3884766261
2026-03-31,438499.388476626
2026-04-01,437003.98847662605
2026-04-02,437967.84847662604
2026-04-06,437882.84847662604
2026-04-07,437256.1384766261
2026-04-08,437212.41847662604
2026-04-09,437533.06847662607
2026-04-10,437694.12847662607
2026-04-13,438145.838476626
2026-04-14,437567.61847662606
2026-04-15,436042.00847662607
2026-04-16,436101.61847662606
2026-04-17,436366.458476626
