Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,2639,2025-04-22,2025-04-23,7.57,8.9205,19997.207229999996,23517.658300500003,3520.4510705000066,17.604713648306824,1,trailing_stop,False
SRAD,2025-04-21,833,2025-04-22,2025-04-23,23.97,24.5575,19986.977009999995,20435.9411025,448.9640925000058,2.2462831286361062,1,trailing_stop,False
DFDV,2025-04-23,2721,2025-04-24,2025-04-25,7.733,8.5405,21062.534492999996,23215.4617995,2152.927306500005,10.221596585232984,1,trailing_stop,False
QBTS,2025-04-23,2874,2025-04-24,2025-04-25,7.2,7.286499999999999,20713.492799999996,20920.459598999998,206.96679900000163,0.999188311688326,1,trailing_stop,False
SAN,2025-04-21,2973,2025-04-22,2025-04-28,6.729,7.267320000000001,20025.322317,21584.13661764,1558.8143006400023,7.784215784215798,6,take_profit,False
DFDV,2025-04-25,2841,2025-04-28,2025-04-29,7.671,10.563999999999998,21815.104311,29982.311675999998,8167.207364999998,37.43831452083308,1,trailing_stop,False
BBVA,2025-04-21,1530,2025-04-22,2025-04-30,13.06,13.176499999999999,20001.781799999997,20139.884954999998,138.1031550000007,0.6904542624297738,8,trailing_stop,False
LB,2025-04-25,317,2025-04-28,2025-04-30,71.68,70.737,22745.28256,22401.205370999996,-344.0771890000033,-1.5127408863458092,2,trailing_stop,False
SAN,2025-04-28,3239,2025-04-29,2025-04-30,7.199,6.8856,23340.878560999994,22280.1559416,-1060.722619399996,-4.5444845472626945,1,trailing_stop,False
DFDV,2025-04-29,2375,2025-04-30,2025-05-01,9.714,11.399999999999999,23093.82075,27047.924999999996,3954.1042499999967,17.121914527720563,1,trailing_stop,False
PPC,2025-04-30,517,2025-05-01,2025-05-02,46.17,44.365,23893.759889999998,22913.768295,-979.9915949999959,-4.101454101454083,1,trailing_stop,False
DFDV,2025-05-01,1954,2025-05-02,2025-05-05,12.14,12.3975,23745.28156,24200.490285,455.2087250000004,1.9170491781694388,3,trailing_stop,False
CORT,2025-04-30,333,2025-05-01,2025-05-06,71.2,71.63475,23733.3096,23830.51737825,97.20777824999823,0.40958374490676075,5,trailing_stop,False
QURE,2025-05-02,1447,2025-05-05,2025-05-06,15.97,15.389999999999999,23131.698589999996,22247.06067,-884.6379199999974,-3.8243534799577317,1,trailing_stop,False
DFDV,2025-05-05,2415,2025-05-06,2025-05-07,9.286,9.994,22448.115689999995,24111.37449,1663.2588000000032,7.409347060434746,1,trailing_stop,False
TPR,2025-04-30,340,2025-05-01,2025-05-08,69.62,75.8385,23694.4708,25759.30491,2064.83411,8.714413279911692,7,trailing_stop,False
LB,2025-05-06,304,2025-05-07,2025-05-08,77.63,75.0025,23623.119519999993,22777.95924,-845.1602799999928,-3.577682783531011,1,trailing_stop,False
QBTS,2025-05-06,3317,2025-05-07,2025-05-08,7.12,10.3455,23640.65704,34281.70747649999,10641.050436499994,45.01165267316951,1,trailing_stop,False
DFDV,2025-05-07,2745,2025-05-08,2025-05-09,9.417,10.820500000000001,25875.514665,29672.570227500004,3797.055562500005,14.674318990980373,1,trailing_stop,False
SRAD,2025-05-08,1172,2025-05-09,2025-05-12,22.88,22.1255,26842.175359999997,25905.154914,-937.0204459999986,-3.490851368910808,3,trailing_stop,False
TPR,2025-05-08,347,2025-05-09,2025-05-12,77.24,83.4192,26829.082279999995,28917.5159376,2088.433657600006,7.784215784215798,3,take_profit,False
DFDV,2025-05-09,2378,2025-05-12,2025-05-13,11.49,13.2905,27350.54322,31573.204191,4222.660971000001,15.439038768020485,1,trailing_stop,False
UPXI,2025-05-12,2613,2025-05-13,2025-05-14,10.71,10.459499999999998,28013.21523,27303.342826499997,-709.872403500005,-2.534062576079399,1,trailing_stop,False
DFDV,2025-05-13,2045,2025-05-14,2025-05-15,13.57,13.6705,27778.40065,27928.216327500002,149.8156775000025,0.5393243455144692,1,trailing_stop,False
RBRK,2025-05-15,322,2025-05-16,2025-05-19,87.5,83.125,28203.174999999996,26739.48375,-1463.6912499999962,-5.189810189810173,3,trailing_stop,False
DFDV,2025-05-19,1476,2025-05-20,2025-05-21,19.18,35.7105,28337.98968,52655.989302,24317.999622000003,85.81413112435013,1,trailing_stop,False
DFDV,2025-05-21,974,2025-05-22,2025-05-23,33.92,51.186,33071.11808,49805.308836,16734.190755999996,50.60061989896894,1,trailing_stop,False
GRPN,2025-05-23,1361,2025-05-27,2025-05-28,26.87,29.019600000000004,36606.640069999994,39456.1799244,2849.5398544000054,7.784215784215798,1,take_profit,False
BBVA,2025-05-12,1955,2025-05-13,2025-06-03,14.12,14.307,27632.204599999997,27942.214815000003,310.0102150000057,1.1219163272987887,21,trailing_stop,False
ODD,2025-05-28,509,2025-05-29,2025-06-03,72.58,78.38640000000001,36980.163219999995,39858.7789224,2878.615702400006,7.784215784215798,5,take_profit,False
DFDV,2025-06-03,1956,2025-06-04,2025-06-05,19.12,18.5535,37436.11872,36254.355354,-1181.7633659999992,-3.1567464961816394,1,trailing_stop,False
ODD,2025-06-03,473,2025-06-04,2025-06-09,77.05,74.366,36481.09465,35139.942882,-1341.151767999996,-3.676292558836347,5,trailing_stop,False
DFDV,2025-06-05,2526,2025-06-06,2025-06-09,14.81,24.224999999999998,37447.47005999999,61131.157649999994,23683.68759,63.245093866295775,3,trailing_stop,False
ASST,2025-06-09,376,2025-06-10,2025-06-11,110.8,128.06,41702.46079999999,48102.409439999996,6399.948640000002,15.346693018173173,1,trailing_stop,False
