trade_date,portfolio_value
2025-04-21,100000.0
2025-04-22,103736.62144300001
2025-04-23,105048.53184600001
2025-04-24,103981.22255300001
2025-04-25,106371.67800895002
2025-04-28,112230.26705659003
2025-04-29,111188.98753209005
2025-04-30,110609.04570169003
2025-05-01,109055.94093769003
2025-05-02,108441.87875769004
2025-05-05,110733.56514519005
2025-05-06,111408.25177719005
2025-05-07,110165.79781519005
2025-05-08,108826.15360899005
2025-05-09,111297.39865169006
2025-05-12,116130.41744849007
2025-05-13,115962.83319249007
2025-05-14,116967.71793449007
2025-05-15,117861.55563299009
2025-05-16,117745.88063299008
2025-05-19,117497.4068829901
2025-05-20,124904.07424299007
2025-05-21,131740.0079519901
2025-05-22,137119.9356019901
2025-05-23,144275.94076799008
2025-05-27,138732.7374179901
2025-05-28,145862.9304910901
2025-05-29,146550.8317310901
2025-05-30,146637.0487630901
2025-06-02,150494.5982630901
2025-06-03,150290.6215902901
2025-06-04,146217.5977202901
2025-06-05,149594.5939392901
2025-06-06,158411.9284992901
2025-06-09,156261.4372212901
2025-06-10,155307.31442129012
2025-06-11,155605.35142129008
2025-06-12,167718.5191312901
2025-06-13,166202.9193672901
2025-06-16,171846.2963920901
2025-06-17,168609.6059720901
2025-06-18,171215.1373620901
2025-06-20,171027.47092009013
2025-06-23,173635.54993559013
2025-06-24,175723.46828959012
2025-06-25,170209.15333959012
2025-06-26,172509.70351764013
2025-06-27,169840.97548764013
2025-06-30,170112.22858764016
2025-07-01,171010.84852414014
2025-07-02,173323.08002914014
2025-07-03,178368.83702914015
2025-07-07,178567.13658764015
2025-07-08,173461.30222264014
2025-07-09,175862.26795264013
2025-07-10,177070.40562264016
2025-07-11,176621.77140714016
2025-07-14,182305.36442714016
2025-07-15,179816.10870814015
2025-07-16,194790.8487081402
2025-07-17,195178.53420314018
2025-07-18,187785.31564414018
2025-07-21,193402.02288814017
2025-07-22,197089.56472664018
2025-07-23,198927.6032826402
2025-07-24,193155.42748864024
2025-07-25,192221.83088364024
2025-07-28,190529.25035084022
2025-07-29,189761.27340684022
2025-07-30,193163.98383834027
2025-07-31,191425.17298084026
2025-08-01,189528.07705394024
2025-08-04,191559.90999994025
2025-08-05,199580.18048342026
2025-08-06,199606.05044602026
2025-08-07,204721.4951060203
2025-08-08,205200.1361950203
2025-08-11,199580.44676331035
2025-08-12,213306.7098993103
2025-08-13,213335.01768931033
2025-08-14,214620.3215443103
2025-08-15,207835.23215431036
2025-08-18,209635.57683531038
2025-08-19,198082.28355531037
2025-08-20,203532.06919031034
2025-08-21,204171.75934031035
2025-08-22,209096.08211481036
2025-08-25,209523.45471481036
2025-08-26,214141.83713101037
2025-08-27,213676.25583601036
2025-08-28,217852.74674141034
2025-08-29,213725.97487291036
2025-09-02,214040.26322291038
2025-09-03,215554.72495321042
2025-09-04,215449.4822332104
2025-09-05,218935.81331961043
2025-09-08,221381.44545921043
2025-09-09,220925.71915921045
2025-09-10,216283.84421921044
2025-09-11,216270.89952671042
2025-09-12,213717.18310422043
2025-09-15,216367.48786422046
2025-09-16,213133.78201397043
2025-09-17,214927.39798957045
2025-09-18,215330.75816457043
2025-09-19,214435.30782257044
2025-09-22,215194.47004657047
2025-09-23,218704.44204657045
2025-09-24,220661.48068857545
2025-09-25,216686.81014257547
2025-09-26,216664.44087457546
2025-09-29,215955.90881457546
2025-09-30,216950.8203863455
2025-10-01,220012.0577363455
2025-10-02,221893.6358548455
2025-10-03,218252.95215484552
2025-10-06,224630.79140404554
2025-10-07,214781.49584404554
2025-10-08,230153.93299604557
2025-10-09,224702.01270604556
2025-10-10,227888.28756054555
2025-10-13,224842.03932654558
2025-10-14,227465.6900003106
2025-10-15,222274.64826981057
2025-10-16,219788.3586958106
2025-10-17,219473.0739715906
2025-10-20,216837.55069159062
2025-10-21,210263.5084675906
2025-10-22,216014.81707759065
2025-10-23,216248.82804759062
2025-10-24,215454.06387304564
2025-10-27,215807.38019404563
2025-10-28,215559.00394703564
2025-10-29,212848.31453703562
2025-10-30,208432.44937601063
2025-10-31,213859.98835205063
2025-11-03,211282.44912860563
2025-11-04,207408.06112860565
2025-11-05,214382.17990510567
2025-11-06,206334.6564051057
2025-11-07,209114.79611660563
2025-11-10,206227.25883860563
2025-11-11,202542.47668740567
2025-11-12,211041.16811815562
2025-11-13,212043.27794265564
2025-11-14,213120.84730265566
2025-11-17,211853.52760765562
2025-11-18,218855.36048765565
2025-11-19,217147.40034615563
2025-11-20,209057.96307815565
2025-11-21,216915.85131665564
2025-11-24,219777.44748665567
2025-11-25,219106.89692385567
2025-11-26,222492.2264414557
2025-11-28,218465.4146194557
2025-12-01,209811.8647343557
2025-12-02,216033.5710307507
2025-12-03,217360.08793675067
2025-12-04,223674.67443395068
2025-12-05,223833.2501231507
2025-12-08,228366.7121043507
2025-12-09,229024.01406485072
2025-12-10,233084.69397435072
2025-12-11,230435.07981885073
2025-12-12,230932.04054285074
2025-12-15,227385.5709678507
2025-12-16,224978.19345235074
2025-12-17,222183.74439133075
2025-12-18,221053.69726028075
2025-12-19,224457.7902007808
2025-12-22,225315.92400078077
2025-12-23,225654.86691828078
2025-12-24,226815.58333748078
2025-12-26,225934.5109374808
2025-12-29,226757.2909374808
2025-12-30,225694.4823604808
2025-12-31,224153.3199604808
2026-01-02,222334.8665901008
2026-01-05,223379.83750010078
2026-01-06,224371.8541481008
2026-01-07,228607.53777210083
2026-01-08,225665.6791273558
2026-01-09,222158.48761735583
2026-01-12,225356.7921435708
2026-01-13,227023.59390357084
2026-01-14,227918.64501237083
2026-01-15,226705.86432987082
2026-01-16,222101.23216987084
2026-01-20,221715.4770321208
2026-01-21,224000.5544421208
2026-01-22,222667.3590401208
2026-01-23,221410.7368394908
2026-01-26,223363.9994064908
2026-01-27,222880.4306300308
2026-01-28,222488.41045953083
2026-01-29,220011.49622553083
2026-01-30,220420.22492553084
2026-02-02,227208.4639215308
2026-02-03,229323.02033553083
2026-02-04,223331.56779123086
2026-02-05,221200.14424123085
2026-02-06,225544.30300223085
2026-02-09,226512.1962622309
2026-02-10,227240.28101323085
2026-02-11,227422.42931323088
2026-02-12,229512.7402147809
2026-02-13,223756.4992772809
2026-02-17,227025.7999876809
2026-02-18,226340.88489418093
2026-02-19,227730.7352668209
2026-02-20,226697.87256047092
2026-02-23,225991.66525371093
2026-02-24,233608.31649371094
2026-02-25,237979.94300691097
2026-02-26,235202.754680236
2026-02-27,237115.345060236
2026-03-02,231483.64840423598
2026-03-03,228441.768488236
2026-03-04,234507.350938236
2026-03-05,230520.36805083603
2026-03-06,232213.07805083602
2026-03-09,229327.69351083605
2026-03-10,230375.74889083605
2026-03-11,228479.7172688361
2026-03-12,224776.7016788361
2026-03-13,224999.5122015861
2026-03-16,226604.83805158612
2026-03-17,229939.0835775861
2026-03-18,229251.89594458614
2026-03-19,229912.92212508613
2026-03-20,226597.32765958612
2026-03-23,227027.7445945861
2026-03-24,225351.87099458612
2026-03-25,225687.90923858611
2026-03-26,225549.52895858613
2026-03-27,224564.83561910613
2026-03-30,226185.71071910614
2026-03-31,226418.38071910612
2026-04-01,225642.69071910612
2026-04-02,226094.67071910613
2026-04-06,225883.19071910615
2026-04-07,225598.74071910614
2026-04-08,225583.82071910612
2026-04-09,225728.20071910613
2026-04-10,225860.59071910614
2026-04-13,226181.96071910614
2026-04-14,225900.53071910614
2026-04-15,225129.32071910612
2026-04-16,225163.53071910614
2026-04-17,225290.60571910613
