Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
HTZ,2025-04-21,2639,2025-04-22,2025-04-23,7.57,8.9205,19997.207229999996,23517.658300500003,3520.4510705000066,17.604713648306824,1,trailing_stop,False
SRAD,2025-04-21,833,2025-04-22,2025-04-23,23.97,24.5575,19986.977009999995,20435.9411025,448.9640925000058,2.2462831286361062,1,trailing_stop,False
DFDV,2025-04-23,2721,2025-04-24,2025-04-25,7.733,7.84605,21062.534492999996,21327.75294795,265.21845495000525,1.2591953501044584,1,trailing_stop,False
QBTS,2025-04-23,2874,2025-04-24,2025-04-25,7.2,7.257999999999999,20713.492799999996,20838.632508,125.13970800000243,0.6041458541458766,1,trailing_stop,False
SAN,2025-04-21,2973,2025-04-22,2025-04-28,6.729,7.267320000000001,20025.322317,21584.13661764,1558.8143006400023,7.784215784215798,6,take_profit,False
DFDV,2025-04-25,2790,2025-04-28,2025-04-29,7.671,9.031649999999999,21423.492089999996,25173.105196499997,3749.613106500001,17.5023431789173,1,trailing_stop,False
BBVA,2025-04-21,1530,2025-04-22,2025-04-30,13.06,13.176499999999999,20001.781799999997,20139.884954999998,138.1031550000007,0.6904542624297738,8,trailing_stop,False
LB,2025-04-25,311,2025-04-28,2025-04-30,71.68,70.737,22314.77248,21977.207792999998,-337.56468700000187,-1.5127408863458092,2,trailing_stop,False
SAN,2025-04-28,3079,2025-04-29,2025-04-30,7.199,6.8856,22187.886720999995,21179.5616376,-1008.3250833999955,-4.5444845472626945,1,trailing_stop,False
DFDV,2025-04-29,2244,2025-04-30,2025-05-01,9.714,10.336,21820.014216,23170.790016,1350.7757999999994,6.190535838466649,1,trailing_stop,False
PPC,2025-04-30,480,2025-05-01,2025-05-02,46.17,44.365,22183.761599999998,21273.9048,-909.8567999999977,-4.1014541014540935,1,trailing_stop,False
DFDV,2025-05-01,1807,2025-05-02,2025-05-05,12.14,12.3975,21958.916979999998,22379.880217500002,420.96323750000374,1.917049178169461,3,trailing_stop,False
CORT,2025-04-30,312,2025-05-01,2025-05-06,71.2,70.585,22236.6144,22000.497479999998,-236.1169200000004,-1.0618384424564198,5,trailing_stop,False
QURE,2025-05-02,1339,2025-05-05,2025-05-06,15.97,15.389999999999999,21405.21383,20586.60279,-818.6110399999998,-3.8243534799577317,1,trailing_stop,False
DFDV,2025-05-05,2233,2025-05-06,2025-05-07,9.286,9.994,20756.373637999997,22294.285398,1537.9117600000027,7.409347060434723,1,trailing_stop,False
TPR,2025-04-30,319,2025-05-01,2025-05-08,69.62,75.18960000000001,22230.98878,23961.496917600005,1730.5081376000053,7.784215784215798,7,take_profit,False
LB,2025-05-06,280,2025-05-07,2025-05-08,77.63,75.0025,21758.136399999996,20979.6993,-778.4370999999956,-3.577682783531022,1,trailing_stop,False
QBTS,2025-05-06,3058,2025-05-07,2025-05-08,7.12,7.6896,21794.732959999998,23491.2820032,1696.5490432000042,7.784215784215798,1,take_profit,False
DFDV,2025-05-07,2531,2025-05-08,2025-05-09,9.417,9.0383,23858.261426999998,22853.0613627,-1005.2000642999992,-4.213215901651701,1,trailing_stop,False
TPR,2025-05-08,296,2025-05-09,2025-05-12,77.24,83.4192,22885.903039999994,24667.3911168,1781.4880768000075,7.78421578421582,3,take_profit,False
DFDV,2025-05-09,1968,2025-05-12,2025-05-13,11.49,13.262,22634.932319999996,26073.516384000002,3438.584064000006,15.191492580526544,1,trailing_stop,False
UPXI,2025-05-12,2184,2025-05-13,2025-05-14,10.71,10.459499999999998,23414.03064,22820.704451999994,-593.3261880000064,-2.53406257607941,1,trailing_stop,False
DFDV,2025-05-13,1703,2025-05-14,2025-05-15,13.57,13.6705,23132.819709999996,23257.580638500003,124.76092850000714,0.5393243455144914,1,trailing_stop,False
RBRK,2025-05-15,270,2025-05-16,2025-05-19,87.5,83.125,23648.624999999996,22421.30625,-1227.318749999995,-5.189810189810173,3,trailing_stop,False
SRAD,2025-05-08,1000,2025-05-09,2025-05-20,22.88,23.4555,22902.879999999997,23432.0445,529.1645000000026,2.310471434160255,11,trailing_stop,False
DFDV,2025-05-19,1223,2025-05-20,2025-05-21,19.18,25.517,23480.597139999998,31176.083709000002,7695.486569000004,32.77381117318554,1,trailing_stop,False
UPXI,2025-05-20,2594,2025-05-21,2025-05-22,10.0,12.254999999999999,25965.94,31757.680529999998,5791.740529999999,22.305144855144853,1,trailing_stop,False
DFDV,2025-05-21,789,2025-05-22,2025-05-23,33.92,51.186,26789.64288,40345.368246,13555.725365999999,50.60061989896896,1,trailing_stop,False
GRPN,2025-05-22,988,2025-05-23,2025-05-28,26.41,28.522800000000004,26119.17308,28152.345873600003,2033.1727936000025,7.784215784215798,5,take_profit,False
DFDV,2025-05-23,799,2025-05-27,2025-05-28,36.65,36.2995,29312.633349999996,28974.2971995,-338.3361504999957,-1.1542332156247448,1,trailing_stop,False
GRPN,2025-05-28,1008,2025-05-29,2025-05-30,28.95,28.4335,29210.781599999995,28632.307031999997,-578.4745679999978,-1.9803460787916727,1,trailing_stop,False
ODD,2025-05-28,402,2025-05-29,2025-06-03,72.58,78.38640000000001,29206.337159999995,31479.821467200003,2273.4843072000076,7.78421578421582,5,take_profit,False
GRPN,2025-05-30,999,2025-06-02,2025-06-03,29.5,31.860000000000003,29499.970499999996,31796.31186,2296.341360000006,7.784215784215798,1,take_profit,False
DFDV,2025-06-03,1566,2025-06-04,2025-06-05,19.12,18.5535,29971.86192,29025.726219,-946.1357009999992,-3.1567464961816394,1,trailing_stop,False
